Percent,Forest,Species
0.21,New,baltimore oriole
3.56,New,bananaquit
0.10,New,bay-breasted warbler
0.00,New,bicolored antbird
0.42,New,black-cheeked woodpecker
0.00,New,black-crowned antshrike
0.00,New,black-throated trogan
1.99,New,blue dacnis
3.46,New,blue-gray tanager
0.00,New,boat-billed flycatcher
0.00,New,broad-billed motmot
0.00,New,buff-rumped warbler
0.00,New,chestnut-backed antbird
0.00,New,chestnut-colored woodpecker
3.35,New,chestnut-sided warbler
0.94,New,clay-colored thrush
0.00,New,cocoa woodcreeper
2.73,New,collard aracari
7.86,New,crested guan
0.00,New,dusky antbird
0.10,New,dusky-capped flycatcher
0.94,New,gartered trogon
0.84,New,golden-hooded tanager
0.00,New,golden-winged warbler
1.68,New,great kiskadee
1.78,New,green honeycreeper
0.00,New,green shrike-vireo
0.21,New,humminbird sp.
0.52,New,keel-billed toucan
1.47,New,mealy parrot
1.78,New,montezuma oropendola
0.00,New,ocellated antbird
19.81,New,olive-backed euphonia
0.00,New,orange-billed sparrow
4.93,New,orange-chinned parakeet
0.31,New,orchre-bellied flycatcher
0.00,New,pale-billed woodpecker
6.50,New,palm tanager
0.00,New,plain-brown woodcreeper
0.10,New,red-capped manakin
0.00,New,red-throated ant-tanager
0.10,New,rose-breasted grosbeak
1.89,New,ruddy ground dove
0.00,New,rufous mourner
0.42,New,rufous-tailed hummingbird
0.00,New,rufous-tailed jacamar
11.11,New,scarlet-rumped tanager
2.94,New,scarlet-thighed dacnis
0.31,New,shining honeycreeper
1.78,New,short-billed pigeon
0.00,New,slaty-tailed trogon
9.22,New,social flycatcher
0.00,New,spotted antbird
0.00,New,squirrel cuckoo
0.00,New,striped-breasted wren
1.68,New,summer tanager
0.10,New,swainson's thrush
0.73,New,tennessee warbler
0.31,New,variable seedeater
0.00,New,wedge-billed woodcreeper
0.00,New,white-breasted woodwren
0.00,New,white-ruffed manakin
0.63,New,white-tipped dove
0.63,New,white-vented euphonia
0.00,New,wood thrush
0.00,New,woodcreeper sp.
0.00,New,wren sp.
0.10,New,yellow tyrannulet
1.05,New,yellow-crowned euphonia
1.36,New,yellow-throated toucan
0.00,Medium,baltimore oriole
0.00,Medium,bananaquit
0.00,Medium,bay-breasted warbler
2.22,Medium,bicolored antbird
0.74,Medium,black-cheeked woodpecker
11.11,Medium,black-crowned antshrike
0.74,Medium,black-throated trogan
0.00,Medium,blue dacnis
0.00,Medium,blue-gray tanager
1.48,Medium,boat-billed flycatcher
1.48,Medium,broad-billed motmot
0.74,Medium,buff-rumped warbler
5.19,Medium,chestnut-backed antbird
1.48,Medium,chestnut-colored woodpecker
14.81,Medium,chestnut-sided warbler
0.00,Medium,clay-colored thrush
2.96,Medium,cocoa woodcreeper
3.70,Medium,collard aracari
2.22,Medium,crested guan
0.00,Medium,dusky antbird
0.00,Medium,dusky-capped flycatcher
0.00,Medium,gartered trogon
0.00,Medium,golden-hooded tanager
1.48,Medium,golden-winged warbler
0.00,Medium,great kiskadee
0.00,Medium,green honeycreeper
0.00,Medium,green shrike-vireo
0.00,Medium,humminbird sp.
0.00,Medium,keel-billed toucan
0.00,Medium,mealy parrot
2.96,Medium,montezuma oropendola
1.48,Medium,ocellated antbird
9.63,Medium,olive-backed euphonia
2.22,Medium,orange-billed sparrow
0.00,Medium,orange-chinned parakeet
0.00,Medium,orchre-bellied flycatcher
0.74,Medium,pale-billed woodpecker
0.00,Medium,palm tanager
7.41,Medium,plain-brown woodcreeper
0.00,Medium,red-capped manakin
2.96,Medium,red-throated ant-tanager
0.00,Medium,rose-breasted grosbeak
0.00,Medium,ruddy ground dove
2.22,Medium,rufous mourner
0.00,Medium,rufous-tailed hummingbird
1.48,Medium,rufous-tailed jacamar
0.00,Medium,scarlet-rumped tanager
0.00,Medium,scarlet-thighed dacnis
0.00,Medium,shining honeycreeper
0.00,Medium,short-billed pigeon
2.22,Medium,slaty-tailed trogon
0.00,Medium,social flycatcher
1.48,Medium,spotted antbird
0.00,Medium,squirrel cuckoo
0.00,Medium,striped-breasted wren
0.00,Medium,summer tanager
0.00,Medium,swainson's thrush
0.00,Medium,tennessee warbler
0.00,Medium,variable seedeater
5.19,Medium,wedge-billed woodcreeper
2.22,Medium,white-breasted woodwren
0.74,Medium,white-ruffed manakin
0.00,Medium,white-tipped dove
0.00,Medium,white-vented euphonia
0.00,Medium,wood thrush
1.48,Medium,woodcreeper sp.
0.74,Medium,wren sp.
0.00,Medium,yellow tyrannulet
0.00,Medium,yellow-crowned euphonia
4.44,Medium,yellow-throated toucan
0.00,Old,baltimore oriole
0.00,Old,bananaquit
0.00,Old,bay-breasted warbler
0.00,Old,bicolored antbird
0.00,Old,black-cheeked woodpecker
17.39,Old,black-crowned antshrike
4.35,Old,black-throated trogan
0.00,Old,blue dacnis
0.00,Old,blue-gray tanager
0.00,Old,boat-billed flycatcher
3.48,Old,broad-billed motmot
0.87,Old,buff-rumped warbler
5.22,Old,chestnut-backed antbird
1.74,Old,chestnut-colored woodpecker
22.61,Old,chestnut-sided warbler
0.00,Old,clay-colored thrush
0.00,Old,cocoa woodcreeper
3.48,Old,collard aracari
0.00,Old,crested guan
2.61,Old,dusky antbird
0.00,Old,dusky-capped flycatcher
0.00,Old,gartered trogon
0.00,Old,golden-hooded tanager
0.00,Old,golden-winged warbler
1.74,Old,great kiskadee
0.00,Old,green honeycreeper
0.87,Old,green shrike-vireo
0.87,Old,humminbird sp.
1.74,Old,keel-billed toucan
0.00,Old,mealy parrot
0.87,Old,montezuma oropendola
0.00,Old,ocellated antbird
5.22,Old,olive-backed euphonia
0.00,Old,orange-billed sparrow
0.00,Old,orange-chinned parakeet
0.00,Old,orchre-bellied flycatcher
0.00,Old,pale-billed woodpecker
0.87,Old,palm tanager
1.74,Old,plain-brown woodcreeper
0.00,Old,red-capped manakin
0.00,Old,red-throated ant-tanager
0.00,Old,rose-breasted grosbeak
0.00,Old,ruddy ground dove
0.00,Old,rufous mourner
0.00,Old,rufous-tailed hummingbird
3.48,Old,rufous-tailed jacamar
0.00,Old,scarlet-rumped tanager
0.00,Old,scarlet-thighed dacnis
0.00,Old,shining honeycreeper
0.00,Old,short-billed pigeon
0.87,Old,slaty-tailed trogon
0.00,Old,social flycatcher
0.00,Old,spotted antbird
0.87,Old,squirrel cuckoo
2.61,Old,striped-breasted wren
0.00,Old,summer tanager
0.00,Old,swainson's thrush
0.00,Old,tennessee warbler
0.00,Old,variable seedeater
3.48,Old,wedge-billed woodcreeper
4.35,Old,white-breasted woodwren
0.00,Old,white-ruffed manakin
0.00,Old,white-tipped dove
0.00,Old,white-vented euphonia
1.74,Old,wood thrush
0.00,Old,woodcreeper sp.
0.87,Old,wren sp.
0.00,Old,yellow tyrannulet
0.00,Old,yellow-crowned euphonia
6.09,Old,yellow-throated toucan
